room_id,booking_date,hour,is_available,available_slots,room_name,id,business_name
CLV1,2025-03-01,11:00:00,false,0,CLUEVIE,1,I escape
DNR2,2025-03-01,11:30:00,false,0,DONOR,10,I escape
LOT4,2025-03-01,17:00:00,false,0,LEGEND OF THE TOMB,100,I escape
LOT4,2025-03-06,18:15:00,true,6,LEGEND OF THE TOMB,1000,I escape
LOT4,2025-04-26,19:45:00,false,0,LEGEND OF THE TOMB,10000,I escape
CLV1,2025-04-26,20:00:00,false,0,CLUEVIE,10001,I escape
DNR2,2025-04-26,20:00:00,true,3,DONOR,10002,I escape
GMS3,2025-04-26,20:00:00,true,6,GAME SHOW Live!,10003,I escape
LOT4,2025-04-26,20:00:00,false,0,LEGEND OF THE TOMB,10004,I escape
CLV1,2025-04-26,20:15:00,true,7,CLUEVIE,10005,I escape
DNR2,2025-04-26,20:15:00,false,0,DONOR,10006,I escape
GMS3,2025-04-26,20:15:00,false,0,GAME SHOW Live!,10007,I escape
LOT4,2025-04-26,20:15:00,true,5,LEGEND OF THE TOMB,10008,I escape
CLV1,2025-04-26,20:30:00,true,7,CLUEVIE,10009,I escape
CLV1,2025-03-06,18:30:00,true,3,CLUEVIE,1001,I escape
DNR2,2025-04-26,20:30:00,true,5,DONOR,10010,I escape
GMS3,2025-04-26,20:30:00,false,0,GAME SHOW Live!,10011,I escape
LOT4,2025-04-26,20:30:00,true,4,LEGEND OF THE TOMB,10012,I escape
CLV1,2025-04-26,20:45:00,false,0,CLUEVIE,10013,I escape
DNR2,2025-04-26,20:45:00,true,3,DONOR,10014,I escape
GMS3,2025-04-26,20:45:00,false,0,GAME SHOW Live!,10015,I escape
LOT4,2025-04-26,20:45:00,true,5,LEGEND OF THE TOMB,10016,I escape
CLV1,2025-04-26,21:00:00,true,3,CLUEVIE,10017,I escape
DNR2,2025-04-26,21:00:00,true,5,DONOR,10018,I escape
GMS3,2025-04-26,21:00:00,true,9,GAME SHOW Live!,10019,I escape
DNR2,2025-03-06,18:30:00,false,0,DONOR,1002,I escape
LOT4,2025-04-26,21:00:00,true,2,LEGEND OF THE TOMB,10020,I escape
CLV1,2025-04-26,21:15:00,true,3,CLUEVIE,10021,I escape
DNR2,2025-04-26,21:15:00,false,0,DONOR,10022,I escape
GMS3,2025-04-26,21:15:00,true,10,GAME SHOW Live!,10023,I escape
LOT4,2025-04-26,21:15:00,true,3,LEGEND OF THE TOMB,10024,I escape
CLV1,2025-04-26,21:30:00,false,0,CLUEVIE,10025,I escape
DNR2,2025-04-26,21:30:00,true,4,DONOR,10026,I escape
GMS3,2025-04-26,21:30:00,true,10,GAME SHOW Live!,10027,I escape
LOT4,2025-04-26,21:30:00,true,4,LEGEND OF THE TOMB,10028,I escape
CLV1,2025-04-26,21:45:00,true,8,CLUEVIE,10029,I escape
GMS3,2025-03-06,18:30:00,true,5,GAME SHOW Live!,1003,I escape
DNR2,2025-04-26,21:45:00,false,0,DONOR,10030,I escape
GMS3,2025-04-26,21:45:00,false,0,GAME SHOW Live!,10031,I escape
LOT4,2025-04-26,21:45:00,true,3,LEGEND OF THE TOMB,10032,I escape
CLV1,2025-04-27,11:00:00,true,2,CLUEVIE,10033,I escape
DNR2,2025-04-27,11:00:00,true,4,DONOR,10034,I escape
GMS3,2025-04-27,11:00:00,true,8,GAME SHOW Live!,10035,I escape
LOT4,2025-04-27,11:00:00,true,5,LEGEND OF THE TOMB,10036,I escape
CLV1,2025-04-27,11:15:00,true,5,CLUEVIE,10037,I escape
DNR2,2025-04-27,11:15:00,true,4,DONOR,10038,I escape
GMS3,2025-04-27,11:15:00,true,4,GAME SHOW Live!,10039,I escape
LOT4,2025-03-06,18:30:00,false,0,LEGEND OF THE TOMB,1004,I escape
LOT4,2025-04-27,11:15:00,false,0,LEGEND OF THE TOMB,10040,I escape
CLV1,2025-04-27,11:30:00,true,5,CLUEVIE,10041,I escape
DNR2,2025-04-27,11:30:00,true,4,DONOR,10042,I escape
GMS3,2025-04-27,11:30:00,false,0,GAME SHOW Live!,10043,I escape
LOT4,2025-04-27,11:30:00,false,0,LEGEND OF THE TOMB,10044,I escape
CLV1,2025-04-27,11:45:00,false,0,CLUEVIE,10045,I escape
DNR2,2025-04-27,11:45:00,false,0,DONOR,10046,I escape
GMS3,2025-04-27,11:45:00,false,0,GAME SHOW Live!,10047,I escape
LOT4,2025-04-27,11:45:00,false,0,LEGEND OF THE TOMB,10048,I escape
CLV1,2025-04-27,12:00:00,true,1,CLUEVIE,10049,I escape
CLV1,2025-03-06,18:45:00,true,4,CLUEVIE,1005,I escape
DNR2,2025-04-27,12:00:00,true,5,DONOR,10050,I escape
GMS3,2025-04-27,12:00:00,true,4,GAME SHOW Live!,10051,I escape
LOT4,2025-04-27,12:00:00,false,0,LEGEND OF THE TOMB,10052,I escape
CLV1,2025-04-27,12:15:00,false,0,CLUEVIE,10053,I escape
DNR2,2025-04-27,12:15:00,true,3,DONOR,10054,I escape
GMS3,2025-04-27,12:15:00,true,1,GAME SHOW Live!,10055,I escape
LOT4,2025-04-27,12:15:00,false,0,LEGEND OF THE TOMB,10056,I escape
CLV1,2025-04-27,12:30:00,true,5,CLUEVIE,10057,I escape
DNR2,2025-04-27,12:30:00,true,2,DONOR,10058,I escape
GMS3,2025-04-27,12:30:00,false,0,GAME SHOW Live!,10059,I escape
DNR2,2025-03-06,18:45:00,false,0,DONOR,1006,I escape
LOT4,2025-04-27,12:30:00,false,0,LEGEND OF THE TOMB,10060,I escape
CLV1,2025-04-27,12:45:00,true,4,CLUEVIE,10061,I escape
DNR2,2025-04-27,12:45:00,true,7,DONOR,10062,I escape
GMS3,2025-04-27,12:45:00,true,3,GAME SHOW Live!,10063,I escape
LOT4,2025-04-27,12:45:00,true,8,LEGEND OF THE TOMB,10064,I escape
CLV1,2025-04-27,13:00:00,false,0,CLUEVIE,10065,I escape
DNR2,2025-04-27,13:00:00,false,0,DONOR,10066,I escape
GMS3,2025-04-27,13:00:00,true,8,GAME SHOW Live!,10067,I escape
LOT4,2025-04-27,13:00:00,true,8,LEGEND OF THE TOMB,10068,I escape
CLV1,2025-04-27,13:15:00,false,0,CLUEVIE,10069,I escape
GMS3,2025-03-06,18:45:00,true,9,GAME SHOW Live!,1007,I escape
DNR2,2025-04-27,13:15:00,true,2,DONOR,10070,I escape
GMS3,2025-04-27,13:15:00,true,10,GAME SHOW Live!,10071,I escape
LOT4,2025-04-27,13:15:00,true,5,LEGEND OF THE TOMB,10072,I escape
CLV1,2025-04-27,13:30:00,false,0,CLUEVIE,10073,I escape
DNR2,2025-04-27,13:30:00,false,0,DONOR,10074,I escape
GMS3,2025-04-27,13:30:00,false,0,GAME SHOW Live!,10075,I escape
LOT4,2025-04-27,13:30:00,false,0,LEGEND OF THE TOMB,10076,I escape
CLV1,2025-04-27,13:45:00,true,2,CLUEVIE,10077,I escape
DNR2,2025-04-27,13:45:00,true,1,DONOR,10078,I escape
GMS3,2025-04-27,13:45:00,false,0,GAME SHOW Live!,10079,I escape
LOT4,2025-03-06,18:45:00,true,8,LEGEND OF THE TOMB,1008,I escape
LOT4,2025-04-27,13:45:00,true,6,LEGEND OF THE TOMB,10080,I escape
CLV1,2025-04-27,14:00:00,true,8,CLUEVIE,10081,I escape
DNR2,2025-04-27,14:00:00,false,0,DONOR,10082,I escape
GMS3,2025-04-27,14:00:00,true,7,GAME SHOW Live!,10083,I escape
LOT4,2025-04-27,14:00:00,true,4,LEGEND OF THE TOMB,10084,I escape
CLV1,2025-04-27,14:15:00,true,7,CLUEVIE,10085,I escape
DNR2,2025-04-27,14:15:00,true,4,DONOR,10086,I escape
GMS3,2025-04-27,14:15:00,false,0,GAME SHOW Live!,10087,I escape
